,1p.prs,1p.pst,3p.prs,3p.pst,count
0,pauperize,pauperized,pauperizes,pauperized,0
1,pause,paused,pauses,paused,4606318
2,pave,paved,paves,paved,1248651
3,abandon,abandoned,abandons,abandoned,2747961
4,abase,abased,abases,abased,0
5,paw,pawed,paws,pawed,2004599
6,abash,abashed,abashes,abashed,0
7,abate,abated,abates,abated,470646
8,pawn,pawned,pawns,pawned,0
9,abbreviate,abbreviated,abbreviates,abbreviated,140105
10,abdicate,abdicated,abdicates,abdicated,124123
11,pay,paid,pays,paid,129198530
12,abduct,abducted,abducts,abducted,0
13,abet,abetted,abets,abetted,0
14,abhor,abhorred,abhors,abhorred,0
15,abide,abided,abides,abided,0
16,abjure,abjured,abjures,abjured,27897
17,abnegate,abnegated,abnegates,abnegated,0
18,peach,peached,peaches,peached,3938068
19,abolish,abolished,abolishes,abolished,912065
20,abominate,abominated,abominates,abominated,0
21,peak,peaked,peaks,peaked,0
22,abort,aborted,aborts,aborted,1569892
23,peal,pealed,peals,pealed,182510
24,abound,abounded,abounds,abounded,1494791
25,pearl,pearled,pearls,pearled,18707334
26,about-face,about-faced,about-faces,about-faced,0
27,abrade,abraded,abrades,abraded,0
28,abridge,abridged,abridges,abridged,96435
29,abrogate,abrogated,abrogates,abrogated,137082
30,peck,pecked,pecks,pecked,1961752
31,abscond,absconded,absconds,absconded,31834
32,absent,absented,absents,absented,8831540
33,peculate,peculated,peculates,peculated,0
34,pedal,pedalled,pedals,pedalled,0
35,absolve,absolved,absolves,absolved,166260
36,absorb,absorbed,absorbs,absorbed,2378096
37,peddle,peddled,peddles,peddled,184369
38,abstain,abstained,abstains,abstained,857265
39,abstract,abstracted,abstracts,abstracted,55951880
40,abstract,abstracted,abstracts,abstracted,55951880
41,pee,peed,pees,peed,12811886
42,peek,peeked,peeks,peeked,2539766
43,abuse,abused,abuses,abused,0
44,peel,peeled,peels,peeled,0
45,peep,peeped,peeps,peeped,0
46,peer,peered,peers,peered,0
47,accede,acceded,accedes,acceded,192573
48,peeve,peeved,peeves,peeved,213790
49,accelerate,accelerated,accelerates,accelerated,3199272
50,peg,pegged,pegs,pegged,0
51,accent,accented,accents,accented,0
52,accentuate,accentuated,accentuates,accentuated,0
53,accept,accepted,accepts,accepted,43171429
54,acclaim,acclaimed,acclaims,acclaimed,0
55,acclimate,acclimated,acclimates,acclimated,86128
56,acclimatize,acclimatized,acclimatizes,acclimatized,25887
57,pelt,pelted,pelts,pelted,353623
58,accommodate,accommodated,accommodates,accommodated,7002915
59,pen,penned,pens,penned,0
60,penalize,penalized,penalizes,penalized,251851
61,accompany,accompanied,accompanies,accompanied,0
62,accomplish,accomplished,accomplishes,accomplished,6091676
63,accord,accorded,accords,accorded,0
64,pencil,pencilled,pencils,pencilled,0
65,accost,accosted,accosts,accosted,29427
66,account,accounted,accounts,accounted,0
67,penetrate,penetrated,penetrates,penetrated,1546460
68,accredit,accredited,accredits,accredited,0
69,accrete,accreted,accretes,accreted,19487
70,accrue,accrued,accrues,accrued,927430
71,accumulate,accumulated,accumulates,accumulated,1715457
72,accuse,accused,accuses,accused,1048371
73,accustom,accustomed,accustoms,accustomed,0
74,ache,ached,aches,ached,1069323
75,achieve,achieved,achieves,achieved,27332769
76,acidify,acidified,acidifies,acidified,15957
77,acidulate,acidulated,acidulates,acidulated,0
78,acknowledge,acknowledged,acknowledges,acknowledged,6546612
79,acquiesce,acquiesced,acquiesces,acquiesced,133376
80,people,peopled,peoples,peopled,0
81,pepper,peppered,peppers,peppered,0
82,acquire,acquired,acquires,acquired,8803690
83,acquit,acquitted,acquits,acquitted,0
84,perambulate,perambulated,perambulates,perambulated,0
85,perceive,perceived,perceives,perceived,0
86,act,acted,acts,acted,141076205
87,perch,perched,perches,perched,0
88,percolate,percolated,percolates,percolated,73602
89,activate,activated,activates,activated,5014202
90,peregrinate,peregrinated,peregrinates,peregrinated,0
91,actuate,actuated,actuates,actuated,650482
92,perfect,perfected,perfects,perfected,60179071
93,perforate,perforated,perforates,perforated,43487
94,perform,performed,performs,performed,30378944
95,adapt,adapted,adapts,adapted,4675567
96,perfume,perfumed,perfumes,perfumed,0
97,add,added,adds,added,387231739
98,addict,addicted,addicts,addicted,0
99,addle,addled,addles,addled,15267
100,address,addressed,addresses,addressed,0
101,adduce,adduced,adduces,adduced,75588
102,perish,perished,perishes,perished,0
103,adhere,adhered,adheres,adhered,2655276
104,perjure,perjured,perjures,perjured,13543
105,perk,perked,perks,perked,391391
106,perm,permed,perms,permed,0
107,adjoin,adjoined,adjoins,adjoined,71600
108,adjourn,adjourned,adjourns,adjourned,957864
109,adjudge,adjudged,adjudges,adjudged,30916
110,adjudicate,adjudicated,adjudicates,adjudicated,204822
111,adjure,adjured,adjures,adjured,0
112,adjust,adjusted,adjusts,adjusted,9115016
113,permeate,permeated,permeates,permeated,260407
114,ad-lib,ad-libbed,ad-libs,ad-libbed,0
115,administer,administered,administers,administered,0
116,permit,permitted,permits,permitted,26339544
117,permute,permuted,permutes,permuted,58407
118,perorate,perorated,perorates,perorated,0
119,admire,admired,admires,admired,0
120,perpetrate,perpetrated,perpetrates,perpetrated,120486
121,admit,admitted,admits,admitted,8780656
122,admix,admixed,admixes,admixed,17678
123,perpetuate,perpetuated,perpetuates,perpetuated,0
124,admonish,admonished,admonishes,admonished,101473
125,perplex,perplexed,perplexes,perplexed,0
126,persecute,persecuted,persecutes,persecuted,211372
127,adopt,adopted,adopts,adopted,11272339
128,persevere,persevered,perseveres,persevered,0
129,adore,adored,adores,adored,1176240
130,adorn,adorned,adorns,adorned,464591
131,persist,persisted,persists,persisted,1821030
132,adulate,adulated,adulates,adulated,0
133,adulterate,adulterated,adulterates,adulterated,21055
134,personalize,personalized,personalizes,personalized,2472227
135,adumbrate,adumbrated,adumbrates,adumbrated,0
136,personate,personated,personates,personated,0
137,advance,advanced,advances,advanced,44738913
138,personify,personified,personifies,personified,53035
139,advantage,advantaged,advantages,advantaged,0
140,perspire,perspired,perspires,perspired,0
141,adventure,adventured,adventures,adventured,0
142,persuade,persuaded,persuades,persuaded,0
143,perturb,perturbed,perturbs,perturbed,0
144,advertise,advertised,advertises,advertised,81965610
145,peruse,perused,peruses,perused,0
146,pervade,pervaded,pervades,pervaded,0
147,advise,advised,advises,advised,8325087
148,advocate,advocated,advocates,advocated,7767184
149,pervert,perverted,perverts,perverted,622485
150,aerate,aerated,aerates,aerated,52799
151,pester,pestered,pesters,pestered,119235
152,pestle,pestled,pestles,pestled,174357
153,pet,petted,pets,petted,45445524
154,petition,petitioned,petitions,petitioned,0
155,affect,affected,affects,affected,24406141
156,petrify,petrified,petrifies,petrified,21299
157,affiance,affianced,affiances,affianced,0
158,affiliate,affiliated,affiliates,affiliated,0
159,pettifog,pettifogged,pettifogs,pettifogged,0
160,affirm,affirmed,affirms,affirmed,1680655
161,affix,affixed,affixes,affixed,444121
162,afflict,afflicted,afflicts,afflicted,0
163,afford,afforded,affords,afforded,10348210
164,afforest,afforested,afforests,afforested,0
165,affranchise,affranchised,affranchises,affranchised,0
166,affront,affronted,affronts,affronted,0
167,phase,phased,phases,phased,0
168,philander,philandered,philanders,philandered,0
169,age,aged,ages,aged,0
170,philosophize,philosophized,philosophizes,philosophized,24675
171,agglomerate,agglomerated,agglomerates,agglomerated,0
172,agglutinate,agglutinated,agglutinates,agglutinated,0
173,aggrandize,aggrandized,aggrandizes,aggrandized,16619
174,aggravate,aggravated,aggravates,aggravated,282794
175,phone,phoned,phones,phoned,0
176,aggregate,aggregated,aggregates,aggregated,8438852
177,aggress,aggressed,aggresses,aggressed,0
178,aggrieve,aggrieved,aggrieves,aggrieved,0
179,agitate,agitated,agitates,agitated,128157
180,phosphoresce,phosphoresced,phosphoresces,phosphoresced,0
181,agonize,agonized,agonizes,agonized,46116
182,photocopy,photocopied,photocopies,photocopied,0
183,agree,agreed,agrees,agreed,47500911
184,photograph,photographed,photographs,photographed,11014717
185,photosensitize,photosensitized,photosensitizes,photosensitized,0
186,photostat,photostatted,photostats,photostatted,0
187,aid,aided,aids,aided,0
188,phrase,phrased,phrases,phrased,0
189,ail,ailed,ails,ailed,425046
190,aim,aimed,aims,aimed,28951240
191,air,aired,airs,aired,0
192,airdrop,airdropped,airdrops,airdropped,0
193,pick,picked,picks,picked,38542153
194,airlift,airlifted,airlifts,airlifted,0
195,picket,picketed,pickets,picketed,0
196,pickle,pickled,pickles,pickled,0
197,picnic,picnicked,picnics,picnicked,0
198,picture,pictured,pictures,pictured,0
199,piddle,piddled,piddles,piddled,0
200,piece,pieced,pieces,pieced,0
201,alarm,alarmed,alarms,alarmed,0
202,pierce,pierced,pierces,pierced,5946907
203,piffle,piffled,piffles,piffled,98434
204,alert,alerted,alerts,alerted,0
205,pigeonhole,pigeonholed,pigeonholes,pigeonholed,0
206,alienate,alienated,alienates,alienated,355480
207,pike,piked,pikes,piked,5085622
208,alight,alighted,alights,alighted,261720
209,align,aligned,aligns,aligned,5478643
210,pile,piled,piles,piled,0
211,pilfer,pilfered,pilfers,pilfered,30838
212,allay,allayed,allays,allayed,203474
213,pillage,pillaged,pillages,pillaged,0
214,allege,alleged,alleges,alleged,633028
215,pillory,pilloried,pillories,pilloried,0
216,pillow,pillowed,pillows,pillowed,0
217,pilot,piloted,pilots,piloted,0
218,alleviate,alleviated,alleviates,alleviated,1640342
219,pimp,pimped,pimps,pimped,2200611
220,pin,pinned,pins,pinned,25080458
221,alliterate,alliterated,alliterates,alliterated,0
222,allocate,allocated,allocates,allocated,3019079
223,pinch,pinched,pinches,pinched,2082769
224,allot,allotted,allots,allotted,0
225,allow,allowed,allows,allowed,67052567
226,pine,pined,pines,pined,0
227,alloy,alloyed,alloys,alloyed,0
228,ping,pinged,pings,pinged,6333297
229,pinion,pinioned,pinions,pinioned,0
230,pink,pinked,pinks,pinked,41704519
231,allure,allured,allures,allured,0
232,pinnacle,pinnacled,pinnacles,pinnacled,4335248
233,ally,allied,allies,allied,0
234,pinpoint,pinpointed,pinpoints,pinpointed,1402675
235,pioneer,pioneered,pioneers,pioneered,14225288
236,pip,pipped,pips,pipped,1564790
237,pipe,piped,pipes,piped,0
238,alter,altered,alters,altered,7831337
239,pique,piqued,piques,piqued,0
240,altercate,altercated,altercates,altercated,0
241,alternate,alternated,alternates,alternated,12846709
242,pirate,pirated,pirates,pirated,0
243,pirouette,pirouetted,pirouettes,pirouetted,0
244,piss,pissed,pisses,pissed,9822831
245,pit,pitted,pits,pitted,0
246,pitch,pitched,pitches,pitched,0
247,amalgamate,amalgamated,amalgamates,amalgamated,83155
248,amass,amassed,amasses,amassed,0
249,pitchfork,pitchforked,pitchforks,pitchforked,0
250,amaze,amazed,amazes,amazed,791672
251,amble,ambled,ambles,ambled,141586
252,ambuscade,ambuscaded,ambuscades,ambuscaded,0
253,pity,pitied,pities,pitied,0
254,ambush,ambushed,ambushes,ambushed,0
255,pivot,pivoted,pivots,pivoted,0
256,ameliorate,ameliorated,ameliorates,ameliorated,242201
257,amend,amended,amends,amended,7806844
258,placard,placarded,placards,placarded,0
259,placate,placated,placates,placated,135892
260,americanize,americanized,americanizes,americanized,14757
261,place,placed,places,placed,0
262,plagiarize,plagiarized,plagiarizes,plagiarized,106581
263,ammoniate,ammoniated,ammoniates,ammoniated,0
264,plague,plagued,plagues,plagued,0
265,plain,plained,plains,plained,23747230
266,amortize,amortized,amortizes,amortized,120824
267,plait,plaited,plaits,plaited,103227
268,plan,planned,plans,planned,0
269,plane,planed,planes,planed,0
270,amplify,amplified,amplifies,amplified,572038
271,amputate,amputated,amputates,amputated,38766
272,plank,planked,planks,planked,0
273,amuse,amused,amuses,amused,554922
274,plant,planted,plants,planted,0
275,plash,plashed,plashes,plashed,0
276,anaesthetize,anaesthetized,anaesthetizes,anaesthetized,0
277,plaster,plastered,plasters,plastered,0
278,analogize,analogized,analogizes,analogized,0
279,analyse,analysed,analyses,analysed,3294441
280,plate,plated,plates,plated,0
281,anathematize,anathematized,anathematizes,anathematized,0
282,anchor,anchored,anchors,anchored,0
283,play,played,plays,played,150748333
284,play-act,play-acted,play-acts,play-acted,0
285,anger,angered,angers,angered,0
286,angle,angled,angles,angled,0
287,angle-park,angle-parked,angle-parks,angle-parked,0
288,anglicize,anglicized,anglicizes,anglicized,0
289,pleach,pleached,pleaches,pleached,0
290,plead,pleaded,pleads,pleaded,0
291,please,pleased,pleases,pleased,0
292,pleat,pleated,pleats,pleated,266830
293,animadvert,animadverted,animadverts,animadverted,0
294,animate,animated,animates,animated,956038
295,pledge,pledged,pledges,pledged,6025016
296,plenish,plenished,plenishes,plenished,0
297,anneal,annealed,anneals,annealed,85478
298,annex,annexed,annexes,annexed,8465905
299,annihilate,annihilated,annihilates,annihilated,205665
300,annotate,annotated,annotates,annotated,2923120
301,announce,announced,announces,announced,11583296
302,plight,plighted,plights,plighted,0
303,annoy,annoyed,annoys,annoyed,1497815
304,plod,plodded,plods,plodded,99185
305,annul,annulled,annuls,annulled,146490
306,plonk,plonked,plonks,plonked,114698
307,annunciate,annunciated,annunciates,annunciated,0
308,plop,plopped,plops,plopped,209870
309,anoint,anointed,anoints,anointed,0
310,plot,plotted,plots,plotted,0
311,plough,ploughed,ploughs,ploughed,0
312,answer,answered,answers,answered,0
313,pluck,plucked,plucks,plucked,891481
314,plug,plugged,plugs,plugged,24429832
315,antagonize,antagonized,antagonizes,antagonized,95843
316,ante,anted,antes,anted,1993948
317,plumb,plumbed,plumbs,plumbed,0
318,antecede,anteceded,antecedes,anteceded,0
319,antedate,antedated,antedates,antedated,17125
320,plume,plumed,plumes,plumed,1269109
321,plummet,plummetted,plummets,plummetted,236907
322,plump,plumped,plumps,plumped,0
323,anthologize,anthologized,anthologizes,anthologized,0
324,plunder,plundered,plunders,plundered,0
325,plunge,plunged,plunges,plunged,1668493
326,plunk,plunked,plunks,plunked,0
327,anticipate,anticipated,anticipates,anticipated,2892087
328,ply,plied,plies,plied,1824830
329,poach,poached,poaches,poached,73747
330,pocket,pocketed,pockets,pocketed,0
331,antiquate,antiquated,antiquates,antiquated,0
332,pod,podded,pods,podded,5206411
333,point,pointed,points,pointed,175527859
334,ape,aped,apes,aped,0
335,poise,poised,poises,poised,339263
336,poison,poisoned,poisons,poisoned,0
337,poke,poked,pokes,poked,1490170
338,apologize,apologized,apologizes,apologized,2591938
339,polarize,polarized,polarizes,polarized,56222
340,pole,poled,poles,poled,0
341,apostatize,apostatized,apostatizes,apostatized,0
342,pole-axe,pole-axed,pole-axes,pole-axed,0
343,apostrophize,apostrophized,apostrophizes,apostrophized,0
344,pole-vault,pole-vaulted,pole-vaults,pole-vaulted,0
345,appal,appalled,appals,appalled,0
346,police,policed,polices,policed,0
347,apparel,apparelled,apparels,apparelled,0
348,appeal,appealed,appeals,appealed,0
349,appear,appeared,appears,appeared,42801104
350,polish,polished,polishes,polished,13927858
351,appease,appeased,appeases,appeased,0
352,append,appended,appends,appended,2136979
353,politicalize,politicalized,politicalizes,politicalized,0
354,applaud,applauded,applauds,applauded,912162
355,politicize,politicized,politicizes,politicized,55325
356,applique,appliqueed,appliques,appliqueed,776815
357,apply,applied,applies,applied,76341478
358,appoint,appointed,appoints,appointed,3696615
359,poll,polled,polls,polled,0
360,pollard,pollarded,pollards,pollarded,1312749
361,apportion,apportioned,apportions,apportioned,0
362,appose,apposed,apposes,apposed,0
363,pollinate,pollinated,pollinates,pollinated,65428
364,appraise,appraised,appraises,appraised,383774
365,pollute,polluted,pollutes,polluted,338167
366,appreciate,appreciated,appreciates,appreciated,13938792
367,apprehend,apprehended,apprehends,apprehended,297016
368,apprentice,apprenticed,apprentices,apprenticed,0
369,apprise,apprised,apprises,apprised,88027
370,approach,approached,approaches,approached,0
371,approbate,approbated,approbates,approbated,0
372,appropriate,appropriated,appropriates,appropriated,69671201
373,approve,approved,approves,approved,9410993
374,approximate,approximated,approximates,approximated,6952889
375,pomade,pomaded,pomades,pomaded,0
376,pommel,pommelled,pommels,pommelled,0
377,aquaplane,aquaplaned,aquaplanes,aquaplaned,0
378,ponder,pondered,ponders,pondered,1290410
379,pong,ponged,pongs,ponged,0
380,poniard,poniarded,poniards,poniarded,0
381,pontificate,pontificated,pontificates,pontificated,160424
382,arbitrate,arbitrated,arbitrates,arbitrated,0
383,arc,arced,arcs,arced,12229184
384,pooh-pooh,pooh-poohed,pooh-poohs,pooh-poohed,0
385,pool,pooled,pools,pooled,0
386,arch,arched,arches,arched,10040050
387,pop,popped,pops,popped,54140138
388,popularize,popularized,popularizes,popularized,84779
389,populate,populated,populates,populated,809976
390,argue,argued,argues,argued,8353605
391,arise,arose,arises,arose,8337093
392,arm,armed,arms,armed,23724057
393,portend,portended,portends,portended,66816
394,portray,portrayed,portrays,portrayed,1108235
395,pose,posed,poses,posed,5242405
396,arouse,aroused,arouses,aroused,428589
397,posit,posited,posits,posited,0
398,arraign,arraigned,arraigns,arraigned,15420
399,position,positioned,positions,positioned,0
400,arrange,arranged,arranges,arranged,7727860
401,array,arrayed,arrays,arrayed,25150016
402,arrest,arrested,arrests,arrested,0
403,possess,possessed,possesses,possessed,5431346
404,arrive,arrived,arrives,arrived,11812688
405,arrogate,arrogated,arrogates,arrogated,0
406,post,posted,posts,posted,0
407,postdate,postdated,postdates,postdated,25092
408,article,articled,articles,articled,0
409,articulate,articulated,articulates,articulated,1767860
410,postmark,postmarked,postmarks,postmarked,371406
411,postpone,postponed,postpones,postponed,884440
412,postulate,postulated,postulates,postulated,352124
413,posture,postured,postures,postured,0
414,pot,potted,pots,potted,0
415,ascend,ascended,ascends,ascended,799236
416,ascertain,ascertained,ascertains,ascertained,1622362
417,pot-roast,pot-roasted,pot-roasts,pot-roasted,0
418,potter,pottered,potters,pottered,0
419,ask,asked,asks,asked,106400213
420,pouch,pouched,pouches,pouched,4023912
421,poultice,poulticed,poultices,poulticed,0
422,pounce,pounced,pounces,pounced,0
423,pound,pounded,pounds,pounded,0
424,pour,poured,pours,poured,15002685
425,asperse,aspersed,asperses,aspersed,0
426,asphalt,asphalted,asphalts,asphalted,3121584
427,pout,pouted,pouts,pouted,295935
428,asphyxiate,asphyxiated,asphyxiates,asphyxiated,0
429,powder,powdered,powders,powdered,0
430,aspirate,aspirated,aspirates,aspirated,105943
431,aspire,aspired,aspires,aspired,0
432,assail,assailed,assails,assailed,0
433,power,powered,powers,powered,0
434,assassinate,assassinated,assassinates,assassinated,308774
435,power-dive,power-dived,power-dives,power-dived,0
436,assault,assaulted,assaults,assaulted,0
437,assay,assayed,assays,assayed,3855224
438,assemble,assembled,assembles,assembled,2600945
439,assent,assented,assents,assented,0
440,assert,asserted,asserts,asserted,3288118
441,powwow,powwowed,powwows,powwowed,185239
442,assess,assessed,assesses,assessed,0
443,asseverate,asseverated,asseverates,asseverated,0
444,assign,assigned,assigns,assigned,7007787
445,practise,practised,practises,practised,1708987
446,assimilate,assimilated,assimilates,assimilated,437479
447,assist,assisted,assists,assisted,29963782
448,praise,praised,praises,praised,0
449,associate,associated,associates,associated,32217516
450,assort,assorted,assorts,assorted,0
451,prance,pranced,prances,pranced,0
452,assuage,assuaged,assuages,assuaged,120549
453,assume,assumed,assumes,assumed,22679395
454,assure,assured,assures,assured,0
455,prattle,prattled,prattles,prattled,95652
456,prawn,prawned,prawns,prawned,0
457,asterisk,asterisked,asterisks,asterisked,0
458,pray,prayed,prays,prayed,8562732
459,preach,preached,preaches,preached,1539268
460,astonish,astonished,astonishes,astonished,151568
461,preachify,preachified,preachifies,preachified,0
462,prearrange,prearranged,prearranges,prearranged,0
463,astound,astounded,astounds,astounded,0
464,precede,preceded,precedes,preceded,677234
465,precipitate,precipitated,precipitates,precipitated,459589
466,precis,precised,precises,precised,179117
467,preclude,precluded,precludes,precluded,1488523
468,preconceive,preconceived,preconceives,preconceived,0
469,precook,precooked,precooks,precooked,0
470,predecease,predeceased,predeceases,predeceased,0
471,predestinate,predestinated,predestinates,predestinated,0
472,predestine,predestined,predestines,predestined,0
473,atomize,atomized,atomizes,atomized,14439
474,predetermine,predetermined,predetermines,predetermined,31220
475,predicate,predicated,predicates,predicated,0
476,atone,atoned,atones,atoned,0
477,predict,predicted,predicts,predicted,6242784
478,atrophy,atrophied,atrophies,atrophied,0
479,attach,attached,attaches,attached,9442716
480,predigest,predigested,predigests,predigested,0
481,predispose,predisposed,predisposes,predisposed,138607
482,attack,attacked,attacks,attacked,35599513
483,attain,attained,attains,attained,2668275
484,predominate,predominated,predominates,predominated,269212
485,pre-empt,pre-empted,pre-empts,pre-empted,0
486,attempt,attempted,attempts,attempted,0
487,attend,attended,attends,attended,20639654
488,preen,preened,preens,preened,0
489,pre-exist,pre-existed,pre-exists,pre-existed,0
490,prefabricate,prefabricated,prefabricates,prefabricated,0
491,attenuate,attenuated,attenuates,attenuated,163787
492,attest,attested,attests,attested,997406
493,preface,prefaced,prefaces,prefaced,0
494,prefer,preferred,prefers,preferred,16005656
495,attire,attired,attires,attired,0
496,attitudinize,attitudinized,attitudinizes,attitudinized,0
497,attorn,attorned,attorns,attorned,19017
498,attract,attracted,attracts,attracted,7608984
499,prefigure,prefigured,prefigures,prefigured,0
500,prefix,prefixed,prefixes,prefixed,6571204
501,preheat,preheated,preheats,preheated,704559
502,prejudge,prejudged,prejudges,prejudged,0
503,prejudice,prejudiced,prejudices,prejudiced,0
504,auction,auctioned,auctions,auctioned,0
505,prelude,preluded,preludes,preluded,2373600
506,premeditate,premeditated,premeditates,premeditated,0
507,audit,audited,audits,audited,0
508,audition,auditioned,auditions,auditioned,0
509,premiere,premiered,premieres,premiered,0
510,premise,premised,premises,premised,0
511,augment,augmented,augments,augmented,0
512,augur,augured,augurs,augured,120764
513,preoccupy,preoccupied,preoccupies,preoccupied,0
514,preordain,preordained,preordains,preordained,0
515,prepack,prepacked,prepacks,prepacked,21351
516,prepackage,prepackaged,prepackages,prepackaged,0
517,prepare,prepared,prepares,prepared,21088422
518,prepay,prepaid,prepays,prepaid,0
519,auscultate,auscultated,auscultates,auscultated,0
520,preponderate,preponderated,preponderates,preponderated,0
521,prepossess,prepossessed,prepossesses,prepossessed,0
522,prerecord,prerecorded,prerecords,prerecorded,0
523,authenticate,authenticated,authenticates,authenticated,1471179
524,presage,presaged,presages,presaged,191709
525,authorize,authorized,authorizes,authorized,4407669
526,prescribe,prescribed,prescribes,prescribed,1998175
527,present,presented,presents,presented,99420744
528,autograph,autographed,autographs,autographed,0
529,automate,automated,automates,automated,2296259
530,preserve,preserved,preserves,preserved,8910519
531,preset,preset,presets,preset,1656205
532,preside,presided,presides,presided,495621
533,press,pressed,presses,pressed,0
534,avail,availed,avails,availed,0
535,pressgang,pressganged,pressgangs,pressganged,0
536,avenge,avenged,avenges,avenged,0
537,aver,averred,avers,averred,0
538,average,averaged,averages,averaged,102837602
539,pressure,pressured,pressures,pressured,0
540,avert,averted,averts,averted,767435
541,pressurize,pressurized,pressurizes,pressurized,44394
542,avoid,avoided,avoids,avoided,36508203
543,avouch,avouched,avouches,avouched,0
544,avow,avowed,avows,avowed,39955
545,presume,presumed,presumes,presumed,1272666
546,await,awaited,awaits,awaited,1745587
547,awake,awoke,awakes,awoke,3230337
548,awaken,awakened,awakens,awakened,837473
549,presuppose,presupposed,presupposes,presupposed,124201
550,pretend,pretended,pretends,pretended,3251001
551,award,awarded,awards,awarded,0
552,awe,awed,awes,awed,2241800
553,prettify,prettified,prettifies,prettified,0
554,prevail,prevailed,prevails,prevailed,1945922
555,axe,axed,axes,axed,2764176
556,prevaricate,prevaricated,prevaricates,prevaricated,0
557,prevent,prevented,prevents,prevented,37247684
558,preview,previewed,previews,previewed,0
559,baa,baa'd,baas,baa'd,760809
560,prey,preyed,preys,preyed,0
561,babble,babbled,babbles,babbled,705693
562,price,priced,prices,priced,0
563,baby,babied,babies,babied,0
564,prick,pricked,pricks,pricked,891337
565,baby-sit,baby-sat,baby-sits,baby-sat,0
566,prickle,prickled,prickles,prickled,0
567,back,backed,backs,backed,0
568,backbite,backbit,backbites,backbit,0
569,prim,primmed,prims,primmed,666550
570,backcomb,backcombed,backcombs,backcombed,0
571,backdate,backdated,backdates,backdated,18646
572,prime,primed,primes,primed,38308402
573,backfire,backfired,backfires,backfired,302229
574,backpedal,backpedalled,backpedals,backpedalled,0
575,primp,primped,primps,primped,0
576,backslide,backslid,backslides,backslid,23804
577,backspace,backspaced,backspaces,backspaced,0
578,backtrack,backtracked,backtracks,backtracked,221446
579,prink,prinked,prinks,prinked,0
580,print,printed,prints,printed,0
581,badger,badgered,badgers,badgered,0
582,baffle,baffled,baffles,baffled,464207
583,bag,bagged,bags,bagged,0
584,bail,bailed,bails,bailed,3739601
585,prize,prized,prizes,prized,16204739
586,prize,prized,prizes,prized,16204739
587,bait,baited,baits,baited,3049271
588,bake,baked,bakes,baked,3785783
589,balance,balanced,balances,balanced,0
590,probate,probated,probates,probated,0
591,probe,probed,probes,probed,9643801
592,proceed,proceeded,proceeds,proceeded,11314599
593,balk,balked,balks,balked,292719
594,process,processed,processes,processed,0
595,process,processed,processes,processed,0
596,ballast,ballasted,ballasts,ballasted,0
597,proclaim,proclaimed,proclaims,proclaimed,1018465
598,procrastinate,procrastinated,procrastinates,procrastinated,161546
599,balloon,ballooned,balloons,ballooned,0
600,procreate,procreated,procreates,procreated,0
601,ballot,balloted,ballots,balloted,0
602,procure,procured,procures,procured,0
603,prod,prodded,prods,prodded,3498498
604,produce,produced,produces,produced,35383071
605,bamboozle,bamboozled,bamboozles,bamboozled,83107
606,ban,banned,bans,banned,0
607,profane,profaned,profanes,profaned,0
608,band,banded,bands,banded,0
609,bandage,bandaged,bandages,bandaged,0
610,profess,professed,professes,professed,515888
611,proffer,proffered,proffers,proffered,115445
612,bandy,bandied,bandies,bandied,0
613,profile,profiled,profiles,profiled,0
614,profit,profited,profits,profited,0
615,bang,banged,bangs,banged,17596497
616,profiteer,profiteered,profiteers,profiteered,0
617,banish,banished,banishes,banished,328029
618,bank,banked,banks,banked,0
619,prognosticate,prognosticated,prognosticates,prognosticated,0
620,programme,programmed,programmes,programmed,0
621,bankrupt,bankrupted,bankrupts,bankrupted,1367273
622,progress,progressed,progresses,progressed,0
623,prohibit,prohibited,prohibits,prohibited,3321335
624,banquet,banqueted,banquets,banqueted,0
625,project,projected,projects,projected,0
626,banter,bantered,banters,bantered,0
627,prolapse,prolapsed,prolapses,prolapsed,0
628,baptize,baptized,baptizes,baptized,150859
629,proliferate,proliferated,proliferates,proliferated,253012
630,bar,barred,bars,barred,0
631,prolong,prolonged,prolongs,prolonged,687609
632,promenade,promenaded,promenades,promenaded,1111165
633,barbarize,barbarized,barbarizes,barbarized,0
634,barbecue,barbecued,barbecues,barbecued,3453189
635,promise,promised,promises,promised,16019259
636,promote,promoted,promotes,promoted,33113081
637,bare,bared,bares,bared,8546200
638,prompt,prompted,prompts,prompted,9531069
639,promulgate,promulgated,promulgates,promulgated,453734
640,bargain,bargained,bargains,bargained,0
641,prong,pronged,prongs,pronged,1059042
642,barge,barged,barges,barged,1319916
643,pronounce,pronounced,pronounces,pronounced,0
644,proof,proofed,proofs,proofed,0
645,bark,barked,barks,barked,0
646,proofread,proofread,proofreads,proofread,0
647,bark,barked,barks,barked,0
648,prop,propped,props,propped,0
649,propagandize,propagandized,propagandizes,propagandized,16270
650,propagate,propagated,propagates,propagated,892094
651,propel,propelled,propels,propelled,646427
652,barnstorm,barnstormed,barnstorms,barnstormed,0
653,prophesy,prophesied,prophesies,prophesied,285877
654,barrack,barracked,barracks,barracked,0
655,barrage,barraged,barrages,barraged,635351
656,propitiate,propitiated,propitiates,propitiated,27496
657,barrel,barrelled,barrels,barrelled,0
658,barricade,barricaded,barricades,barricaded,425797
659,proportion,proportioned,proportions,proportioned,0
